id1,id2,label
1858,2248,0
2360,456,1
1521,1725,0
2427,1207,1
843,923,0
494,1900,1
1876,1725,0
2308,2606,0
2655,2610,1
939,1550,0
906,1830,1
2498,256,0
45,1680,1
2206,2771,1
2375,2284,0
2121,2806,0
593,1832,0
2681,2170,0
127,1563,0
3040,2606,0
1960,423,1
2592,6,1
2415,251,0
2206,1372,0
2711,2847,0
127,1322,0
2590,2606,0
1997,2078,0
123,2066,0
1363,2930,1
2165,1591,0
58,224,1
245,2793,0
2752,2476,1
1758,889,0
150,590,1
1324,1840,1
2991,767,0
441,923,0
1426,1522,0
414,2535,0
978,2496,1
2738,1734,0
479,595,1
2009,2462,1
599,2319,1
2322,2847,0
2450,1018,0
425,2280,1
37,844,0
2861,1351,1
1473,1650,0
1539,1900,0
2272,909,1
2375,1976,1
1027,2150,1
2473,1306,0
2569,889,0
33,1689,0
984,2319,1
2053,2535,0
2521,2206,0
2844,2535,0
1252,1591,0
1233,1668,0
588,1042,1
2891,2129,0
1593,644,0
1863,2076,0
2322,1832,0
76,642,1
1797,2975,0
1440,2679,1
2402,923,0
1615,1947,0
1142,38,1
1473,1792,0
2839,1578,1
2281,1792,0
665,2036,1
1578,1591,1
239,586,0
518,1401,1
672,1725,0
959,1401,0
2844,2078,0
2790,1014,1
693,2698,0
545,938,0
325,2535,0
710,988,1
2382,1792,0
129,2245,1
2550,1598,1
1681,938,0
2729,1395,1
2785,2259,0
334,2806,1
2665,1401,0
2782,2375,1
289,1525,1
3047,2539,1
33,1403,0
532,291,0
2525,1725,0
2382,2606,0
2087,787,0
2242,970,0
430,1734,0
1824,2251,1
1993,2973,0
1257,1039,0
691,1792,0
730,1089,0
2824,2702,1
1114,101,1
1626,1792,0
2084,926,0
160,989,0
2297,923,0
1626,659,0
2138,1909,1
2480,2708,0
2358,1296,1
2908,1800,1
1107,2423,0
2441,1570,0
622,1550,0
263,2039,1
2867,1668,0
105,1792,0
2169,2535,0
2217,2535,0
33,1720,0
1942,592,1
328,1591,0
705,1401,0
1369,644,1
1900,2089,1
1025,2442,1
430,1550,0
61,1687,1
448,216,0
296,216,0
2383,1609,0
2611,2847,0
800,2040,1
1478,908,1
1974,2950,1
2406,923,0
801,1501,0
2088,788,0
395,2117,1
2962,1550,0
325,1792,0
2703,2975,1
2239,1792,0
1444,1457,1
2211,889,1
2270,697,0
2179,2708,0
1200,2023,1
2383,1267,0
2121,1792,0
504,2782,0
3040,2847,0
514,1792,0
1044,650,0
136,2998,1
2086,2535,0
421,2535,0
2030,1978,0
2733,1956,1
1680,1347,0
0,2676,1
1908,1342,0
906,1830,1
718,697,0
2449,1960,0
1758,889,0
1541,2535,0
455,697,0
1335,921,0
1333,2219,1
1938,2535,0
2177,697,0
48,2129,0
1450,590,0
2166,1227,0
2816,1792,0
589,1792,0
673,118,1
2846,2806,0
1342,2098,1
2722,2535,0
2429,2535,0
455,2973,0
698,1519,0
2051,2847,0
2084,926,0
2819,1725,0
731,2687,0
2663,1306,0
2034,2535,1
2244,2117,0
684,1108,0
2474,1725,0
195,2535,0
1183,2298,0
928,2870,0
2178,216,0
221,650,0
